MARIA INES,FISCAL ADJUNTO DE CORTE,3/02/21,28/06/22,995234
RAQUEL ELIZABET,INSPECTOR MAYOR (PE),10/05/21,31/07/23,1249609
MARÍA ROSARIO,ACTUARIO,4/06/21,27/06/22,1385554
ALBERTO OSCAR,EDIL,23/06/21,24/07/23,2543328
ARIEL,EDIL,2/06/21,27/06/23,3326849
WINSTON FRANKLIN,MIENBRO C.H.A.L.A -EP,11/05/21,29/05/22,3588497
PABLO DANIEL,DIPUTADO,3/03/21,20/07/23,1987304
MERCEDES MARIA,FISCAL LETRADO SUPLENTE,21/08/21,24/10/21,1455322
JORGE MARIA,DIRECTOR,25/04/21,20/05/22,1247369
ALCIDES,EDIL,1/10/20,25/10/21,3593956
MIRTA GRACIELA,GERENTE,11/07/21,27/09/22,3449648
SERGIO,SENADOR,30/07/21,16/08/23,1033368
DORITA,FISCAL LETRADO ADJUNTO,15/02/21,30/10/23,1178833
HUGO JOSE,DIRECTOR NACIONAL DE CULTURA,20/06/21,5/04/23,655000
JOSE BARTOLOME,DIR. GRAL DE DESAROLLO,26/04/21,24/12/22,3877670
NELSON EDUARDO,DIRECTOR,1/05/21,5/02/23,1679960
JUAN CARLOS,EDIL,6/04/21,9/07/23,3205255
MARTHA VANDA,JUEZ LDO.INTERIOR,3/04/21,16/04/22,1793175
MABEL,JUEZ LETRADO CAPITAL,21/04/21,29/11/21,1250238
EFRAIN ANDRES,EDIL,29/10/20,10/03/23,3694615
VICTOR ESTEBAN,INSP. MAYOR,24/08/21,19/03/23,1887660
GERARDO,GERENTE DE DIVISION,13/04/21,29/06/23,1704998
ERNESTO,SENADOR,17/11/21,29/01/23,944279
STELLA SERRANA,INSP. PPAL,16/06/21,6/12/22,4118008
TABARE,MINISTRO,16/10/20,29/11/23,1388182
SILVIA,EDIL,21/12/21,5/02/23,961566
CLAUDIO MARTIN,EDIL,24/09/20,9/04/22,3581737
VICTOR HUGO,EDIL,28/11/21,19/11/22,3711927
JOSE EDUARDO,DELEGADO,16/12/21,8/02/22,1206092
JOSE MARIA,EDIL TITULAR,5/10/21,16/07/22,3589412
MARÍA ROSA,JUEZ LDO. INTRIOR,30/12/21,2/11/21,1842343
CARLOS WALDEMAR,JUEZ LETRADO INTERIOR,2/03/21,28/10/22,1867314
ESTEBAN RAUL,DIRECTOR II (MEDICO),22/11/21,6/06/22,1941813
ROBERTO,EDIL,10/07/21,9/09/22,3420734
EDGARDO RAMON,SUB DIRECTOR ING,3/12/20,22/11/23,1057290
DENISE HAIFA,GERENTE,11/12/20,2/11/21,1648800
MIGUEL ANGEL,EDIL,28/04/21,18/04/23,1785630
CARLOS,EDIL TITULAR,6/10/21,10/03/23,3420710
MANUEL NARCISO,EDIL TITULAR,3/02/21,22/06/23,3508520
RUBEN DARIO,DIRECTOR PLANIFICACION,10/06/21,18/08/23,3218656
MARIO BERNABE,GERENTE DIVISION GENERACION,14/09/21,18/05/22,2637003
YAMANDU,INSP. MAYOR,15/06/21,7/05/22,1887748
NILSON ANGEL,EDIL,6/10/20,8/06/22,1844698
ASUCENA,EDIL DEPARTAMENTAL,26/01/21,7/09/23,3502446
LUIS,DIRECTOR GENERAL,13/09/20,5/09/21,1546970
RICARDO,DIRECTOR TECNICO,2/06/21,3/12/22,1671407
DANIEL,CAPITAN DE NAVIO (CIME),2/10/20,28/04/22,1433626
MIGUEL,VOCAL,27/09/20,4/11/21,4308037
JOSE ANTONIO,GERENTE AREA ASESORIA TECNICO JURIDICA,25/10/20,23/12/21,1160780
HUMBERTO RAMÀN,EDIL,10/04/21,11/11/23,1562739
JUAN CARLOS,EDIL,22/06/21,6/10/21,3069642
MARIA GABRIELA,DIRECTOR,18/03/21,22/08/23,1209007
FELIPE JOSE,EDIL DEPARTAMENTAL,1/12/21,2/10/23,4210009
VERONICA,ACTUARIO,8/11/20,14/10/23,1913552
MARÍA LUISA,ACTUARIO,15/07/21,17/10/22,1512103
NESTOR DANIEL,EDIL DEPARTAMENTAL,28/12/20,6/10/21,3291049
LUIS LEONARDO,MINISTRO DE ESTADO,5/07/21,19/01/22,2956258
MARIA GRACIELA,EDIL TITULAR,20/08/21,13/09/21,2634046
SILVANA JACQULINE,SECRETARIA,31/10/21,4/07/23,4306400
GERARDO,INSP. MAYOR,15/12/21,19/03/22,1494515
GABRIELA,SECRETARIA GENERAL,23/11/20,27/03/22,1936797
ALEJANDRO ANDRES,EDIL,21/09/20,26/08/22,2523588
JOSE LUIS,EDIL,16/05/21,8/11/22,3679864
LEONARDO GUSTAVO,CONTRA ALMIRANTE,15/08/21,24/10/21,1489144
VERONICA MARIA,DIPUTADO,5/09/20,26/12/21,2608509
GONZALO,DIRECTOR DE HACIENDA,20/05/21,17/01/23,2795091
NOEMI LYDIA,DIRECTORA DIVISION,11/01/21,1/11/23,1045549
MARIA DEL CARMEN,INSP.MAYOR,23/04/21,23/10/23,1428880
MARIA JIMENA,JUEZ LDO. INTERIOR,10/12/21,7/09/21,2020923
MARY CRISTINA,MINISTRO TRIB. APELA,17/07/21,13/10/21,1177094
ROSA M,EDIL DEPARTAMENTAL,18/09/21,11/08/22,3822792
RAMIRO,ASESOR DIRECCION GENERAL DE HACIENDA,3/12/21,18/06/22,4064840
LUIS,DIRECTOR ADMINISTRACION,21/11/21,8/10/22,1065893
JORGE ANTONIO,DIRECTOR DE SEGURIDAD OPRACIONES,4/11/20,1/07/22,1184649
PABLO EMILIANO,DIRECTOR GENERAL,13/02/21,11/05/23,3619193
JUAN MARTIN,DIRECTOR GENERAL DE TRANSITO,3/08/21,9/01/22,2683926
ANALIA,DIRECTORA DE OBRA,16/10/20,25/11/21,1693139
ALVARO BOLIVAR,EDIL,30/08/21,5/12/22,2869954
ALFREDO,EDIL DEPARTAMENTAL,20/11/21,4/10/21,3891262
ALEJANDRO,GERENTE DE FILIAL,12/01/21,14/09/23,1849418
FERNANDO TOMAS,GERENTE EJECUTIVO,5/08/21,3/06/23,3794634
HUGO,GTE. TECNICO REGION N.E,10/12/21,7/09/21,1729194
ALICIA TERESITA,JUEZ LDO. CAPITAL,5/11/20,28/08/22,1879671
GERARDO JAVIER,JUEZ LDO. INTERIOR,3/06/21,24/03/23,1791569
HUBERTO NILSON,JUEZ LETRADO INTERIOR,24/12/20,25/09/22,3056144
ANTONIO,SUB-DIRECTOR GRAL,23/05/21,12/05/23,2882513
MIGUEL ANGEL,PROSECRETARIO COM ADM,29/12/21,10/12/23,732576
MARTHA ELIZABETH,JUEZ LDO.CAPITAL,9/10/21,23/06/22,1672719
VICTOR RICARDO,CAPITAN DE NAVIO(CP),3/03/21,31/12/21,1517320
RUBEN ARI,EDIL DEPARTAMENTAL,6/10/20,12/06/23,2015057
ROQUE GASTON,INSP. PPAL,21/05/21,20/08/22,1682884
AMERICO,INSP.MAYOR,3/11/21,2/02/22,1580476
ANA CAROLINA,JUEZ LDO. INTERIOR,13/12/21,21/09/23,4112691
